name,description,facilities,activities,island,site_link
Hanauma Bay,"Ever fancied swimming amidst some of the world's rarest marine wildlife? It can't get much better than at Hanauma Bay (view panorama, see more photos), located on Oahu's southeastern shore near Hawaii Kai. Named America's best beach in 2004, Hanauma Bay is a longtime favorite among snorkelers and marine enthusiasts. It is home to over 450 kinds of tropical fish, many of which can only be found in Hawaii. Here you can observe marine life up close, including the humuhumunukunukuapua‘a, the Hawaiian state fish. Feeding, chasing or touching the fish and turtles is not allowed, but you can swim alongside them and take pictures. You can rent snorkeling gear from the nearby shops, and lifeguards are more than willing to assist beginners.   Although often called a beach park, Hanauma Bay is actually a nature preserve established to protect the delicate ecosystems in the bay. Visitors have to watch a short educational video about the bay's history and wildlife before entering the beach. A steep, but paved road leads down to it. If you don't feel like walking or have a physical disability, there's a shuttle bus that takes people to the beach (a nominal fee applies). If you forgot to bring your own food, there's a concession stand at the entrance of the bay. There's also a gift shop and shower facilities. Non-residents of the state of Hawaii have to pay an admission fee of $25 to enter Hanauma Bay. This fee is waved for Hawaii residents, active military and children under 13. There is a parking fee ($3 per vehicle for non-residents and $1 per vehicle for Hawaii residents). The beach opens at 6:45 a.m. every day, except Mondays and Tuesdays when it is closed. If you are planning to visit Hanauma Bay, it is recommended to reserve your tickets in advance. The online reservation system can be accessed at https://pros8.hnl.info/ Only a limited amount of walk-in or drive-in tickets without an online reservation is available. Hawaii residents may access Hanauma Bay without a reservation from 6:45 a.m. to 9 a.m. Wednesdays through Sundays. Residents arriving after 9:00 a.m. need a reservation or walk-in ticket. (Hanauma Bay isn't safely accessible on foot, and the city bus service to Hanuama Bay has been permanently discontinued). Special Note: Hanauma Bay is the top site on Oahu for drownings. Although the bay is protected by a reef and the nearshore waters are usually calm, Hanauma Bay is considered one of the deadliest beaches in Hawaii. According to the State Department of Health, 15 people died here between 2009 and 2014. A total of 47 people have drowned at Oahu's most popular snorkeling spot since 1995. Keep this in mind when planning a trip to Hanauma Bay. Always go snorkeling together with a buddy and stay together at all times. If you are not an experienced open ocean swimmer, stay close to the shore and don't swim out of the channel at Hanauma Bay (the channel that leads into deeper waters behind the reef).       ",,"snorkeling, diving, swimming",Oahu,https://www.to-hawaii.com/oahu/beaches/hanaumabaypreserve.php
Hau'ula Beach Park,"Hau'ula Beach Park on Oahu's windward coast is a popular camping and picnicking site among local residents. There is only a very narrow beach, and because of a shallow nearshore reef, the swimming conditions are poor. However, snorkeling is possible when the ocean is calm. Also, a beginners' surf spot is located offshore at the northern end of the park. Hau'ula, meaning ""red hau"" in the Hawaiian language, was named for the hau flowers, the native Hibiscus tiliaceus, which bloom in the summer months.       ",,"fishing, surfing, snorkeling",Oahu,https://www.to-hawaii.com/oahu/beaches/hauulabeachpark.php
Hukilau Beach Park,"Hukilau Beach Park (see more photos, view panorama) is located in the little town of La'ie on Oahu's northeastern shore.It is a section of the long sand beach that runs between La'ie and Kalani Points. Swimming is good here during the summer. In the winter time when the surf is up, watch out for strong currents.   A “hukilau” in Hawaiian is a traditional method of fishing, in which a group of people participate. “Hukilau” literally means “pull a lau,” which is a rope with ti leaves attached to it. In 1947, the Church of Jesus Christ of Latter-Day Saints organized a hukilau in La'ie to fundraise money to replace their wooden chapel, which had burned down. Because the hukilau was so popular, the visitor industry asked the La'ie community to continue this fishing method as a visitor attraction. So for years, it was held on this beach. Only when in 1970, the state determined that it was a commercial endeavor that needed to be taxed, the community found the hukilau to be unprofitable and discontinued this popular event. But up until today, the beach here is known as Hukilau Beach.     ",,"swimming, surfing, bodyboarding, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/hukilaubeachpark.php
Ka'a'awa Beach Park,"Ka'a'awa Beach Park (see more photos , view panorama) on Oahu's windward coast has a narrow sandy beach. Because of a shallow reef on the nearshore ocean bottom, the swimming conditions are rather poor. There are a few sandy patches on the nearshore ocean bottom where it's fun to splash around in. Otherwise snorkeling can be fun when the ocean is calm. The beach park is mainly used by fishermen, campers and picnickers. Fishermen come here to catch he'e (octopus). In the Hawaiian language, Ka'a'awa means ""the yellow wrasse fish,"" a reef fish that was once abundant on the reefs in this area.     ",,"fishing, limited swimming",Oahu,https://www.to-hawaii.com/oahu/beaches/kaaawabeachpark.php
Ka'alawai Beach,"Ka'alawai Beach is located at the foothills of Diamond Head on Oahu's south shore.The beach fronts the upscale neighborhood of Ka'alawai. It is a narrow, white-sand beach with a shallow reef offshore, which makes for poor swimming conditions. There are only a few scattered pockets of sand on the nearshore ocean bottom. Freshwater bubbles up between the rocks of the reef. That's probably why the beach is called “Ka'alawai,” which means “the watery rock” in the Hawaiian language. The beach is mainly used by surfers, who paddle out to the surf spot called Brown's, which is located just behind the reef.   A famous museum lies at the eastern end of the beach – Shangri La (also known as Doris Duke Foundation). This mansion is the former home of Doris Duke, who was the daughter and only child of James Duke, the founder of the American Tobacco Company. After her father's death, she became one of the wealthiest women in the world. The mansion is now an art museum, featuring Islamic art. Another landmark at the eastern end of Ka'alawai Beach is Black Point, a lava rock peninsula.    ",,surfing,Oahu,https://www.to-hawaii.com/oahu/beaches/kaalawaibeach.php
Ka'ena Point State Park,"Ka'ena, which means ""red hot"" or ""glowing"" in the Hawaiian language, is the name of the northwestern tip of the island of Oahu. Ka'ena Point State Park (view panorama) is so remote that no road leads here. Access is only possible by hiking here, either from the road that ends north of Makaha on the west shore, or from the road that ends behind the Dillingham Airfield on the north shore. The 853-acre (3.45 sq. km) park stretches for 9 miles (14.5 km) around the northwestern tip and is home to numerous seabirds, including albatrosses and rare native plants. The whole area is steeped in legend, such as stories of Pohaku o Kauai and Ka Leina a ka Uhane. Pohaku o Kauai, meaning ""rock of Kauai,"" is a rock in the ocean just off Ka'ena Point that was named after the demigod Maui tried to join Oahu and the neighbor island of Kauai. He took his magic hook ""mana i ka lani,"" meaning ""divine power of heaven,"" and threw it across the Ka'ie'ie Waho Channel to snag Kauai. After tugging on the tagline he could only loosen a large boulder. The rock fell into the ocean at Ka'ena Point where it remains up until today as Pohaku o Kauai. According to Hawaiian folklore, Ka'ena Point was also known as the place where souls depart from the earth, as a ""jumping off"" place, a ""leina a ka uhane."" After a person died, the soul would find its way to a leina a ka uhane, such as the one at Ka'ena Point. The exact point was called ""ka leina a ka uhane,"" meaning ""the leap of the soul."" It is also known as White Rock because of a large limestone formation on the north side of the point.   Ka'ena Point has a rocky shore and is backed by sand dunes. The best thing to do here is fishing and hiking. Stay out of the water because dangerous rip currents and very large waves are often times present. There are also a lot of rocks in the water. So swimming, snorkeling or other water activities are not recommended and there are no lifeguards. Ka'ena Point State Park includes the nearby Makua Beach and Yokohama Bay (also known as Keawa'ula Beach). These are the only sand beaches where swimming is possible when the ocean is calm. If you plan to hike to Ka'ena Point from the leeward (west) coast, you can drive all the way to Yokohama Beach, up to where the road ends, park there and walk north. There is a narrow trail that will lead you to Ka'ena Point. Take a water bottle with you because the area is often times hot and dry (there is no shade). It will take you about 1 to 1.5 hours one-way. Keep in mind that the albatrosses there are protected by law, so don't try to go close to them or to find their nest. On the way to Ka'ena Point (on the trail that leads there from Yokohama Beach), you may come across some dumped or abandoned junk cars that have been thrown over the cliffs or parked on the side of the trail. Sometimes just the motor parts or tires are left – a not so pretty sight in paradise and very unfortunate that this happens. Alternatively, you may also hike to Ka'ena Point from the trail that begins at the end of Farrington Highway on the north shore, just past Dillingham Airfield and Camp Erdman Beach.     ",,fishing,Oahu,https://www.to-hawaii.com/oahu/beaches/kaenapoint.php
Kahana Bay Beach Park,"Surrounded on three sides by the majestic Ko'olau Mountains, Kahana Bay (see more photos, view panorama) is one of the best-kept secrets of windward Oahu. The crescent shore is set against a beautiful backdrop of ironwood trees and the steep and lush Ko'olau Mountain Range. The sandy beach is a great spot for sunbathing, and the ironwood trees provide plenty of shade for a picnic. On the south end of the bay where Kahana Stream enters the ocean is an ancient Hawaiian fishpond called Huilua.   The waters are generally calm, but few people go swimming here because the water is murky from the runoff of Kahana Stream and the nearshore ocean bottom is rocky. Local residents like to camp here during weekends, so this is when the beach can get busy. A camping permit is required. For more info on how to get a permit, see here.    ",,fishing,Oahu,https://www.to-hawaii.com/oahu/beaches/kahanabay.php
Kahanamoku Beach,"Waikiki Beach is known around the world and since it is 2 miles (3.2 km) long it has several sections. The western end is known as Kahanamoku Beach. It fronts the Hilton Hawaiian Village and the Duke Kahanamoku Lagoon. The beach is named after Duke Paoa Kahanamoku (1890-1968), who is perhaps the most remembered and respected Hawaiian surfer, a champion Olympic swimmer and a master of canoeing. He epitomized Hawaiian athleticism and helped the surf sport reach unbelievable popularity worldwide. That's why he is also known as ""The Father of Modern Surfing.""   Kahanamoku Beach is the widest stretch of Waikiki Beach. In 2012, the beach was named the #2 beach in America according to the annual list of ""Dr. Beach."" Dr. Stephen Leatherman, an internationally known coastal scientist, has selected the annual Top 10 Beaches since 1991. Fifty criteria are used to evaluate beaches, which include water and sand quality as well as safety and environmental management. The man-made 5-acre Duke Kahanamoku Lagoon is also a fun place to explore. Here you can swim in calm waters or picnic on the grassy area under one of the palm trees. Located in the center of Kahanamoku Beach is the Hilton Pier from where Atlantis Submarine tours depart.    ",,"swimming, snorkeling, bodyboarding, surfing, kayaking",Oahu,https://www.to-hawaii.com/oahu/beaches/kahanamokubeach.php
Kahuku Beach,"Golden sand carpets the shores of Kahuku Beach (view panorama), located in front of the nine-hole public Kahuku Golf Course. Apart from the vibrant sand, the place also shines with a festive local atmosphere you won't find anywhere else on the island. But few visitors ever come here. Quiet, sunny and spacious, Kahuku offers a welcome respite from the usually packed Oahu beaches.   Most of the people you will find here are local fishermen. A few others come to surf or picnic. So Kahuku Beach is hardly ever crowded, and there are many secluded spots if you're looking for some peace and quiet. If you're into surfing, head over to the Rice Bowl on the south side or the Seventh Hole on the north for some good waves.   Kahuku Beach is a long and wide white-sand beach with a high limestone shelf. The shelf and the rocky ocean bottom are what make swimming tricky, if not impossible, here. The beach is backed by high sand dunes, heliotrope trees and naupaka, a kind of green bush. There is almost no shade on Kahuku Beach, so if you plan to spend a day here, bring a beach umbrella, water and sunscreen.     ",,"surfing, fishing",Oahu,https://www.to-hawaii.com/oahu/beaches/kahukubeach.php
Kaiaka Bay Beach Park,"Located on Oahu's North Shore on the Kaiaka Point peninsula in Haleiwa (see more photos, view panorama), this spacious (53 acre) beach park is a great spot to relax, have a picnic or play ball games.Because it is located on a peninsula and no major street is nearby, it is quiet here.   Kaiaka means ""shadowy sea"" in the Hawaiian language. The ocean in this area looks brown and murky and indeed as if a shadow has fallen on it. The swimming conditions at the west end of the peninsula are poor because of soil runoff from the nearby Paukauila and Kiki'i Streams. Also, there are many sharp rocks at the water's edge on that side, as well as a dark, detrital sand beach. The best area for swimming is at the east end of the peninsula where there is a sandy beach. But it's more like a dip into the water rather than a swim because of the rocks in the water. From the park one can enjoy nice views of the Waianae Mountains and the neighboring Haleiwa beaches and coastline. Located in the park is what looks like a giant stone mushroom. It is a so-called balancing rock, and legend has it that it floated ashore from the distant land of Kahiki. In Hawaiian the name of this large limestone is Pohaku Lana'i. There are many picnic areas in the park, and several designated campsites are at the northern end of the peninsula. A permit is required to camp here. More info how to get a permit is here. However, there is no shade in this area. It's a large open grassy area. Mostly local families camp here. At the time of writing, a large tent stood here that displayed an upside down Hawaiian flag. Upside down flags symbolize a nation in distress. Some islanders (some of whom are Native Hawaiian), disapprove the U.S. annexation of Hawaii. They want Hawaii to be a sovereign nation. Some people in the Islands show their discontent by flying the Hawaiian flag upside down, either in front of their homes, or in parks, or as bumper stickers.       ",,"fishing, limited swimming, surfing",Oahu,https://www.to-hawaii.com/oahu/beaches/kaiakabaybeachpark.php
Kaihalulu Beach,"Kaihalulu Beach (see more photos, view panorama) is located east of the Turtle Bay Resort (see more photos, view panorama) on Oahu's North Shore. The beach doesn't see many visitors mainly because it's not a good beach for water activities such as swimming. The nearshore ocean bottom is rocky and a limestone shelf lines much of the bay. Some visitors have scratched their names and other symbols into the limestone shelf, which looks interesting – like modern-day petroglyphs (rock carvings).   Even though the swimming conditions are poor here, Kaihalulu Beach is a nice beach for a long walk in peaceful surroundings. The coastline is mainly undeveloped (the beach is backed by a small forest as well as the Fazio and Palmer golf courses). To access the beach, park at the Turtle Bay Resort public parking lot and walk towards the right (behind Ola's Restaurant). You can either walk in the sand or along a path that leads along the entire length of Kaihalulu Beach. Near the center of the beach is a small protected wading area called Keiki Pool (view photo). ""Keiki"" means child in the Hawaiian language. A plaque marks the pool and says: ""This natural pool was formed during the 1946 tsunami that pushed up two ocean bedrock formations creating a protected enclosure, making it much calmer than the surrounding waters."" Located right next to the walking path along the beach, there is a small Hawaiian stone altar (view photos). It is marked by a plaque that says: ""This Hawaiian altar is an 'ahupua'a demarcation between the 'ahupua'a land division boundaries of Hanaka'oe to the west and Kahuku to the east. 'Ahupua'a - literally the altar ('ahu) of the pig (pua'a), it is the name for both a land division and the stone altar that serves as a marker. The 'ahupua'a system of land management was a cornerstone of traditional Hawaiian life and helped Native Hawaiians to develop one of the most sustainable methods of land use in the world. Extending from the forested mountain tops mauka (inland) or the wao akua (region of the gods), through the kula (open plains used for farming) and extending out into makai (ocean), each 'ahupua'a contained everything its inhabitants needed to sustain life.""      ",,fishing,Oahu,https://www.to-hawaii.com/oahu/beaches/kaihalulubeach.php
Kailua Beach Park,"If you could squeeze Hawaii into a single mile, you'd probably get something like Kailua Beach Park (see more photos, view panorama). Located on Oahu's windward coast, Kailua gives you the whole package: soft white sand, towering ironwood trees with a few coconut palms inbetween and crystal clear, turquoise waters.Even the locals never get tired of this place - you see them working out here first thing in the morning and barbecuing until sundown.   The beach has just the right size surf for an exciting ride, but is calm enough to be suitable for beginners. Kailua is also a world-class kite and windsurfing destination. Kite and windsurfers usually enter the ocean and surf around the center and north end of the Kailua shore. The best area for swimming and for families with children is near the boat ramp and around the area where the Ka'elepulu Stream enters the ocean (near the south end of the beach). Lifeguards are also stationed in this area. If you're into kayaking, a popular destination is nearby Popoi'a Island (also known as Flat Island), located about a quarter of a mile (400 m) offshore. The island has a small sandy beach, but is otherwise barren. In the center of the island used to be an ancient Hawaiian fishing shrine, but it was destroyed by a tsunami in 1946. In the Hawaiian language, ""popoi'a"" means ""rotten fish."" The name probably refers to offerings that were left behind at the shrine. The area is also great for snorkeling, especially in the summer. Here you'll find a good population of green sea turtles and other rare creatures. Flat Island is also a seabird sanctuary. One thing to watch out for is the occasional appearance of Portuguese man-of-war and box jellyfish. They usually invade the beaches 9-12 days after a full moon, but may appear on other days as well. Their sting can cause a painful rash with even the slightest touch. Watch out for warning signs posted on the beach. Kailua Beach has suffered from erosion for many years, but recently the situation has worsened after several days of high surf in mid-January 2013 when even the Kailua boat ramp partially collapsed. High surf took a chunk out of the shoreline at the south end of the beach, leaving exposed roots of trees. Some of the trees that were close to the shoreline were leaning dangerously or fell down, so that city crews were forced to cut them.

Back in March 2012 the city had tried to repair the beach erosion by spreading 1,500 cubic yards of sand from Ka'elepulu Stream along the beach, but that sand is now gone. Here are photos taken in February 2013 (see photos) that show the damage to the beach after the week of high surf in January. The section of beach at the south end of Kailua Bay is very narrow and there are many exposed roots and tree stumps near the water's edge.     ",,"swimming, snorkeling, bodyboarding, kite surfing, kayaking, windsurfing, surfing, boating",Oahu,https://www.to-hawaii.com/oahu/beaches/kailuabeachpark.php
Kaimana Beach,"If you're staying in Waikiki, Kaimana Beach (view panorama), named after the nearby hotel, is just a stroll away and a nice beach to go to. Walk toward Diamond Head, along Kapiolani Park on your left, and you'll get to Kaimana Beach. It is located between the War Memorial Natatorium and the New Otani Kaimana Beach Hotel.   Kaimana Beach is relatively wide, unlike Waikiki Beach, which is narrow in many areas. It is a nice family beach and many locals like to go here because it is protected by a wide reef and because the nearshore ocean bottom is shallow and sandy. The beach is also an access point for surfers, who paddle out to surf at the popular surf spot Old Man's. Kaimana Beach is also the place where an important historic event took place on December 28, 1902. The steamship Silvertown, which came from San Francisco and had laid a submarine cable from California to Hawaii, anchored here after a 12-day crossing of the ocean. The end of the cable was brought ashore through the Kapua Channel at Kaimana Beach, in a canoe steered by David Pi'ikoi Kahanamoku, an uncle of Duke Kahanamoku (who is perhaps the most remembered and respected Hawaiian surfer). This cable was the first telegraphic link between Hawaii and the U.S. mainland. The first message was sent to President Theodore Roosevelt in Washington D.C. on January 1, 1903. Up until today, remnants of the cable, which was abandoned in 1951 for newer communication systems, still lie on the ocean floor in the channel at Kaimana Beach. If you're swimming in this channel, be aware that the current can be quite strong, especially after a high tide when the water is flowing out. Ask the lifeguard on the beach if you're not sure about the tides and wear fins if you plan to swim further out.    ",,"swimming, snorkeling, surfing, fishing, kayaking",Oahu,https://www.to-hawaii.com/oahu/beaches/kaimanabeach.php
